Salário,Profissão,Setor,Estado,FormaTrabalho,Nivel,TamanhoEmpresa,Gestão,TipoTrabalho,Idade,Experiência,Escolaridade,Formação,LinguagemPython,LinguagemR,LinguagemSQL,NuvemAWS,NuvemGCP,NuvemAzure,QlikView,PowerBI,Tableau
5000.0,,Marketing,Ceará (CE),Modelo 100% presencial,,de 101 a 500,sim,Outros,35-39,Mais de 10 anos,Pós-graduação,Química / Física,,,,,,,,,
7000.0,,Consultoria,Bahia (BA),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,de 1 a 5,sim,Empreendedor ou Empregado (CNPJ),35-39,de 2 a 3 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,,,,,,,,,
10000.0,,Indústria,Santa Catarina (SC),Modelo 100% presencial,,de 1001 a 3000,sim,Outros,30-34,de 1 a 2 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
14000.0,,Serviços,São Paulo (SP),Modelo 100% presencial,,de 1001 a 3000,sim,Empreendedor ou Empregado (CNPJ),35-39,Mais de 10 anos,Pós-graduação,Outras,,,,,,,,,
10000.0,,Varejo,Santa Catarina (SC),Modelo 100% presencial,,de 6 a 10,sim,Empreendedor ou Empregado (CNPJ),35-39,de 1 a 2 anos,Pós-graduação,Outras Engenharias,,,,,,,,,
10000.0,,Indústria,São Paulo (SP),Modelo híbrido com dias fixos de trabalho presencial,,de 6 a 10,sim,Empreendedor ou Empregado (CNPJ),55+,de 4 a 5 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,,,,,,,,,
3500.0,,Tecnologia/Fábrica de Software,Santa Catarina (SC),Modelo híbrido com dias fixos de trabalho presencial,,de 6 a 10,sim,Empreendedor ou Empregado (CNPJ),22-24,de 1 a 2 anos,Estudante de Graduação,Outras Engenharias,,,,,,,,,
14000.0,,Tecnologia/Fábrica de Software,São Paulo (SP),Modelo 100% remoto,,de 101 a 500,sim,Outros,50-54,Mais de 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
5000.0,,Setor Alimentício,Minas Gerais (MG),Modelo 100% presencial,,de 101 a 500,sim,Outros,35-39,de 1 a 2 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,,,,,,,,,
5000.0,,Telecomunicação,São Paulo (SP),Modelo 100% presencial,,de 101 a 500,sim,Outros,25-29,de 1 a 2 anos,Pós-graduação,Outras Engenharias,,,,,,,,,
35000.0,,Telecomunicação,São Paulo (SP),Modelo 100% remoto,,Acima de 3000,sim,Outros,40-44,Mais de 10 anos,Mestrado,Economia/ Administração / Contabilidade / Finanças,,,,,,,,,
7000.0,,Tecnologia/Fábrica de Software,Goiás (GO),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,de 11 a 50,sim,Empreendedor ou Empregado (CNPJ),45-49,de 2 a 3 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
22500.0,,Outro,Paraná (PR),Modelo 100% remoto,,de 11 a 50,sim,Empreendedor ou Empregado (CNPJ),40-44,de 4 a 5 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
5000.0,,Tecnologia/Fábrica de Software,São Paulo (SP),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,de 51 a 100,sim,Outros,25-29,de 4 a 5 anos,Graduação/Bacharelado,Outras Engenharias,,,,,,,,,
3500.0,,Telecomunicação,Mato Grosso (MT),Modelo 100% presencial,,de 51 a 100,sim,Outros,25-29,Não tenho experiência na área de dados,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
10000.0,,Construção Civil,Mato Grosso do Sul (MS),Modelo 100% presencial,,de 501 a 1000,sim,Empreendedor ou Empregado (CNPJ),40-44,Menos de 1 ano,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
10000.0,,Setor Alimentício,Distrito Federal (DF),Modelo 100% remoto,,de 101 a 500,sim,Outros,25-29,de 6 a 10 anos,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças,,,,,,,,,
5000.0,,Serviços,São Paulo (SP),Modelo 100% presencial,,de 1 a 5,sim,Outros,50-54,Mais de 10 anos,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,,,,,
